City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
472,Lagoa,PT,39.05,-27.9833,66.56,58,64,11.97,broken clouds
473,Trairi,BR,-3.2778,-39.2689,79.7,77,41,9.4,scattered clouds
474,Fountain Hills,US,33.6117,-111.7174,73.29,36,1,4.61,clear sky
475,Turbat,PK,26.0023,63.044,81.68,6,0,8.19,clear sky
476,Ola,RU,59.5833,151.2833,28.2,58,99,9.26,overcast clouds
477,Stephenville,US,32.2207,-98.2023,74.25,81,1,11.5,clear sky
478,Jingdezhen,CN,29.2947,117.2079,63.36,77,99,2.66,overcast clouds
479,Kupang,ID,-10.1667,123.5833,90.18,66,20,12.66,few clouds
480,Manadhoo,MV,5.7667,73.3833,82.51,71,94,11.63,overcast clouds
481,Atar,MR,20.5169,-13.0499,76.84,21,17,8.14,few clouds
482,Verkh-Chebula,RU,56.0308,87.6218,42.71,82,100,23.8,overcast clouds
483,Gummidipundi,IN,13.4,80.15,91.4,60,100,2.91,overcast clouds
484,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,61,40,2.24,scattered clouds
485,Plettenberg Bay,ZA,-34.0527,23.3716,56.64,72,54,4.45,broken clouds
486,Quepos,CR,9.4236,-84.1652,78.1,90,50,2.91,scattered clouds
487,Arrecife,ES,28.963,-13.5477,68.07,72,20,5.75,few clouds
488,Ngunguru,NZ,-35.6167,174.5,65.16,97,99,12.55,overcast clouds
489,Santa Rosa,PH,14.3122,121.1114,81.86,77,100,9.55,overcast clouds
490,Burns Lake,CA,54.2331,-125.7533,24.22,92,18,1.32,few clouds
491,Mazyr,BY,52.0495,29.2456,37.65,84,76,13.2,broken clouds
492,Bubaque,GW,11.2833,-15.8333,81.57,76,100,4.25,light rain
493,Lulea,SE,65.5842,22.1547,12.27,92,90,2.3,overcast clouds
494,Pisco,PE,-13.7,-76.2167,61.02,86,30,2.08,scattered clouds
495,Lake Jackson,US,29.0339,-95.4344,73.94,95,1,4.61,clear sky
496,Saint-Pierre-Des-Corps,FR,47.3833,0.7333,36.25,100,0,3.44,clear sky
497,Kawalu,ID,-7.3817,108.2082,90.43,50,84,5.08,broken clouds
498,Indramayu,ID,-6.3264,108.32,87.6,61,84,10.47,broken clouds
499,Quelimane,MZ,-17.8786,36.8883,75.15,78,0,10.36,clear sky
500,La Ronge,CA,55.1001,-105.2842,37.65,75,40,17.27,scattered clouds
501,Oranjemund,NA,-28.55,16.4333,56.86,72,0,10.22,clear sky
502,Ust-Nera,RU,64.5667,143.2,7.02,95,93,4.94,overcast clouds
503,Camana,PE,-16.6228,-72.7111,61.47,83,54,9.26,broken clouds
504,Rincon,US,32.296,-81.2354,63.86,94,1,0,clear sky
505,Ipixuna,BR,-1.7625,-48.8043,78.75,95,99,3.76,overcast clouds
506,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,57.6,97,0,3.8,clear sky
507,Ampanihy,MG,-24.7,44.75,79.23,40,0,4.5,clear sky
508,Dunkwa,GH,5.9656,-1.78,71.13,99,89,0.31,overcast clouds
509,Mareeba,AU,-17,145.4333,88.45,42,38,11.54,scattered clouds
510,Chaiya,TH,9.3862,99.1986,89.58,71,92,6.4,overcast clouds
511,Nalut,LY,30.3333,10.85,67.14,60,81,6.71,broken clouds
512,Guangyuan,CN,32.442,105.823,65.59,64,53,2.84,broken clouds
513,Ziway,ET,7.9333,38.7167,65.95,52,17,9.57,few clouds
514,Port Lincoln,AU,-34.7333,135.8667,60.96,57,8,11.3,clear sky
515,Zhanakorgan,KZ,43.9098,67.2495,57.63,28,1,3.85,clear sky
516,Otane,NZ,-39.8833,176.6333,54,88,100,2.59,overcast clouds
517,Lensk,RU,60.7253,114.9278,35.65,78,100,10.16,overcast clouds
518,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.65,84,39,10.6,scattered clouds
519,Bayir,TR,37.2687,28.2167,46.92,63,0,3.87,clear sky
520,Beringovskiy,RU,63.05,179.3167,10.9,76,3,7.94,clear sky
521,Ust-Barguzin,RU,53.45,108.9833,42.15,70,97,3.18,overcast clouds
522,College,US,64.8569,-147.8028,33.91,86,40,3.44,scattered clouds
523,Tatawin,TN,32.9297,10.4518,67.08,86,49,4.05,scattered clouds
524,Chateau-Gontier,FR,47.8333,-0.7,38.12,85,4,6.58,clear sky
