City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Yulara,AU,87.82,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
186,Prachuap Khiri Khan,TH,77.2,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
191,Emilio Carranza,MX,76.77,overcast clouds,19.9711,-96.6114,casa carranza
193,Diffa,NE,80.22,scattered clouds,13.3154,12.6113,ProDAF/Diffa
199,Sarramea,NC,77.92,scattered clouds,-21.6421,165.8452,Hotel Evasion
201,Kasempa,ZM,76.5,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
206,Dawei,MM,87.28,overcast clouds,14.0833,98.2,Hotel Dawei
209,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
211,Matara,LK,86.38,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
216,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
219,Dingle,PH,85.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
225,Buraydah,SA,76.51,clear sky,26.326,43.975,فندق راحة السلام
232,Morondava,MG,77.95,clear sky,-20.2833,44.2833,La Case Bambou
236,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
247,Baculin,PH,86.0,moderate rain,7.4525,126.5842,Baculin Cove Beach Resort
249,Tezu,IN,84.11,clear sky,27.9167,96.1667,Circuit House
250,Mana,GF,77.59,overcast clouds,5.6592,-53.7767,LE SAMANA
256,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
262,Victoria,HK,76.96,clear sky,22.2855,114.1577,Mini Hotel Central
263,Yairipok,IN,78.8,clear sky,24.6667,94.0667,UKHONGSHANG MANINGKAI CHINGCHA
265,Atambua,ID,87.46,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
268,Odweyne,SO,76.44,clear sky,9.4092,45.064,Eng Hiirey House
269,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
270,Batticaloa,LK,84.56,broken clouds,7.7102,81.6924,Grand Star Guest House
272,Kampot,KH,87.85,broken clouds,10.6167,104.1833,Two Moons Hotel
273,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
276,Humaita,BR,77.76,broken clouds,-7.5061,-63.0208,Corrêa Hotel
277,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
278,Ranong,TH,85.24,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
280,Sao Filipe,CV,78.33,few clouds,14.8961,-24.4956,Hotel Xaguate
281,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
284,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
286,Faanui,PF,76.57,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
288,Kavieng,PG,84.63,light rain,-2.5744,150.7967,Nusa Island Retreat
294,Dhidhdhoo,MV,81.0,overcast clouds,6.8833,73.1,Dhidhoo beach
295,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
299,Narasannapeta,IN,82.85,broken clouds,18.4167,84.05,G.lingaraju home
302,Pontianak,ID,89.58,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
308,Yazman,PK,76.91,clear sky,29.1212,71.7446,Jamal sons showroom
314,Takoradi,GH,76.46,overcast clouds,4.8845,-1.7554,Raybow International Hotel
315,Palu,ID,85.59,broken clouds,-0.8917,119.8707,Hotel Santika Palu
318,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
320,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
321,Tavares,US,75.99,clear sky,28.8042,-81.7256,"Holiday Inn Express & Suites Tavares - Leesburg, an IHG Hotel"
324,Sinnamary,GF,78.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
335,Asind,IN,78.12,clear sky,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
337,Port Moresby,PG,84.34,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
